GOTOES_CSV,timestamp,position_lat,position_long,altitude,heart_rate,cadence,distance,speed,power,compressed_speed_distance,grade,resistance,time_from_course,cycle_length,temperature,,,,speed_1s,cycles,total_cycles,,,,,,,,,compressed_accumulated_power,accumulated_power,left_right_balance,gps_accuracy,vertical_speed,calories,,,,,,vertical_oscillation,stance_time_percent,stance_time,activity_type,left_torque_effectiveness,right_torque_effectiveness,left_pedal_smoothness,right_pedal_smoothness,combined_pedal_smoothness,time128,stroke_type,zone,ball_speed,cadence256,fractional_cadence,total_hemoglobin_conc,total_hemoglobin_conc_min,total_hemoglobin_conc_max,saturated_hemoglobin_percent,saturated_hemoglobin_percent_min,saturated_hemoglobin_percent_max,,unknown61,device_index,,,,unknown66,left_pco,right_pco,left_power_phase,left_power_phase_peak,right_power_phase,right_power_phase_peak,enhanced_speed,,,,,enhanced_altitude,,,battery_soc,motor_power,vertical_ratio,stance_time_balance,step_length,,,,,,absolute_pressure,depth,next_stop_depth,next_stop_time,time_to_surface,ndl_time,cns_load,n2_load,,,,,,,,,,,,,,,,grit,flow,,ebike_travel_range,ebike_battery_level,ebike_assist_mode,ebike_assist_level_percent
,2023-07-07T07:52:03,53.3855875,-6.2565723,60.0,255,255,0.00,13.241,65535,,,,,,17,,,,,,,,,,,,,,,,,255,,,,,,,,,,,,,255,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-07-07T07:52:04,53.3856035,-6.2566380,59.8,255,255,10.48,15.656,65535,,,,,,17,,,,,,,,,,,,,,,,,255,,,,,,,,,,,,,255,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-07-07T07:52:05,53.3856253,-6.2566911,59.8,255,255,14.67,16.697,65535,,,,,,17,,,,,,,,,,,,,,,,,255,,,,,,,,,,,,,255,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-07-07T07:52:06,53.3856480,-6.2567418,60.0,255,255,18.86,17.626,65535,,,,,,17,,,,,,,,,,,,,,,,,255,,,,,,,,,,,,,255,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-07-07T07:52:07,53.3856688,-6.2567906,60.0,255,255,23.05,17.302,65535,,,,,,17,,,,,,,,,,,,,,,,,255,,,,,,,,,,,,,255,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-07-07T07:52:08,53.3856866,-6.2568380,60.2,255,255,23.05,17.050,65535,,,,,,17,,,,,,,,,,,,,,,,,255,,,,,,,,,,,,,255,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-07-07T07:52:09,53.3857028,-6.2568688,60.2,255,255,31.43,16.574,65535,,,,,,17,,,,,,,,,,,,,,,,,255,,,,,,,,,,,,,255,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-07-07T07:52:10,53.3857190,-6.2569075,60.4,255,255,35.62,16.024,65535,,,,,,17,,,,,,,,,,,,,,,,,255,,,,,,,,,,,,,255,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-07-07T07:52:11,53.3857331,-6.2569463,60.4,255,255,35.62,15.473,65535,,,,,,17,,,,,,,,,,,,,,,,,255,,,,,,,,,,,,,255,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-07-07T07:52:12,53.3857451,-6.2569746,60.4,255,255,41.90,14.742,65535,,,,,,17,,,,,,,,,,,,,,,,,255,,,,,,,,,,,,,255,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
